,lead,member,min_mse,min_mse_time
174,18,4,404420.3040820652,857771
175,18,3,283032.12129468966,980507
176,18,2,317780.8945188331,533483
177,18,6,374579.6964204899,990107
178,18,1,359610.60274186713,1041875
179,18,10,190998.38909718348,585107
180,19,5,287252.953155235,884459
181,19,9,186752.73348612306,962675
182,19,8,320956.07728234347,533843
183,19,7,387883.294469577,533579
184,19,4,332579.59079174063,857771
185,19,3,399648.77286367264,1041875
186,19,2,368343.10780892347,533291
187,19,6,265456.40876659413,691787
188,19,1,257198.14024722792,1041875
189,19,10,174731.3787776483,963059
190,20,5,219729.5946262501,1059011
191,20,9,214483.40055352266,1015475
192,20,8,426667.6990819457,927515
193,20,7,349184.5044237894,1041827
194,20,4,257368.35342898898,831251
195,20,3,357984.40158391075,1041179
196,20,2,350249.50263200386,533291
197,20,6,301068.04150111286,691787
198,20,1,253730.06109196093,533603
199,20,10,460528.4576359098,990155
200,21,5,260412.7933877289,700811
201,21,9,267918.9004214413,1050035
202,21,8,317307.9407838771,849971
203,21,7,359532.8027585953,533531
204,21,4,195560.37033719663,831251
205,21,3,330887.6196104181,1015307
206,21,2,184836.91553900178,971483
207,21,6,279324.9092642809,691811
208,21,1,349980.0371046924,533291
209,21,10,379350.3198033893,901691
210,22,5,267498.9068462392,672851
211,22,9,257078.27000801047,848483
212,22,8,305322.48705001915,831491
213,22,7,344115.65727347723,884387
214,22,4,253609.52909470815,831227
215,22,3,470816.2921061359,683099
216,22,2,203344.16284861084,884459
217,22,6,206057.0013269253,892451
218,22,1,368301.48525995325,884459
219,22,10,248826.09177220258,884795
220,23,5,251034.27748091763,884459
221,23,9,295477.06874754565,884387
222,23,8,397038.82842605026,533555
223,23,7,458122.82332209026,743987
224,23,4,300426.0582183273,831251
225,23,3,509690.0112908419,683195
226,23,2,240916.40701652406,725963
227,23,6,255931.815085073,929123
228,23,1,319157.9313602831,770171
229,23,10,196095.0842673892,708371
230,24,5,173082.93881864194,761723
231,24,9,233889.9430996688,884387
232,24,8,331967.3122626249,533555
233,24,7,427093.08271393954,778403
234,24,4,348382.23229416943,813659
235,24,3,324029.9427852409,1042811
236,24,2,237240.38057929144,602939
237,24,6,273768.0461420695,901667
238,24,1,187547.03799004125,1059059
239,24,10,251337.41612624718,839387
240,25,5,272095.4825853136,1051307
241,25,9,261744.1963101907,954179
242,25,8,410784.7798507529,858107
243,25,7,312554.5818949462,603611
244,25,4,271671.2251877154,901619
245,25,3,274741.67603119544,927851
246,25,2,239427.99948404302,558803
247,25,6,230076.38570416163,533507
248,25,1,232564.853939674,761699
249,25,10,195232.4380387079,990179
250,26,5,230131.43485045256,911507
251,26,9,278267.8990051996,751787
252,26,8,460382.6386479373,691811
253,26,7,250798.5233575165,603587
254,26,4,181459.83650750862,533579
255,26,3,257154.17321842737,927851
256,26,2,228254.6962816511,795491
257,26,6,268488.91980823333,725651
258,26,1,233004.25646225057,954827
259,26,10,315214.226854508,753659
260,27,5,214352.3121025691,542723
261,27,9,225390.5783751715,602915
262,27,8,385837.0535816576,1006931
263,27,7,348008.41521832504,858155
264,27,4,298628.68215038156,787667
265,27,3,235934.4112125861,935867
266,27,2,280480.9569580159,770267
267,27,6,341440.7583675082,883403
268,27,1,159127.04939033467,578339
269,27,10,336090.6361711936,857051
270,28,5,295579.58722321846,1015787
271,28,9,147294.1495126472,1049939
272,28,8,376396.58126168227,884387
273,28,7,339238.34014385566,831491
274,28,4,197826.80355126114,935867
275,28,3,159501.84049854582,778067
276,28,2,282985.5366061418,587219
277,28,6,303447.686570441,901763
278,28,1,185030.1761343658,673595
279,28,10,261347.81602445734,673691
280,29,5,220405.5666082796,708395
281,29,9,152460.47539110942,1049987
282,29,8,327317.56975988153,1006979
283,29,7,410197.6860371988,532979
284,29,4,290715.63342449046,532787
285,29,3,207563.60165162262,1060091
286,29,2,188228.15939437624,770267
287,29,6,294770.9162673304,681683
288,29,1,202571.11686863168,795539
289,29,10,217948.12639722068,716795
290,30,5,220203.11076975826,935819
291,30,9,282048.4886612907,901667
292,30,8,375278.7584311026,603587
293,30,7,321821.3452570194,744035
294,30,4,367720.9391104885,559475
295,30,3,138572.30231987685,673571
296,30,2,228773.91277245415,682355
297,30,6,232527.62134727195,585323
298,30,1,255428.8904548443,533675
299,30,10,255844.10705415433,1006091
